Date de consommation;Consommation (kWh);Nature de la donnee
02-01-2021;43;Reelle
01-01-2021;44;Reelle
31-12-2020;50;Reelle
30-12-2020;44;Reelle
29-12-2020;43;Reelle
28-12-2020;40;Reelle
27-12-2020;34;Reelle
26-12-2020;35;Reelle
25-12-2020;38;Reelle
24-12-2020;33;Reelle
23-12-2020;28;Reelle
22-12-2020;24;Reelle
21-12-2020;29;Reelle
20-12-2020;32;Reelle
19-12-2020;27;Reelle
18-12-2020;23;Reelle
17-12-2020;26;Reelle
16-12-2020;30;Reelle
15-12-2020;27;Reelle
14-12-2020;23;Reelle
13-12-2020;33;Reelle
12-12-2020;42;Reelle
11-12-2020;27;Reelle
10-12-2020;30;Reelle
09-12-2020;38;Reelle
08-12-2020;37;Reelle
07-12-2020;42;Reelle
06-12-2020;40;Reelle
05-12-2020;41;Reelle
04-12-2020;43;Reelle
03-12-2020;35;Reelle
02-12-2020;27;Reelle
01-12-2020;26;Reelle
30-11-2020;26;Reelle
29-11-2020;31;Reelle
28-11-2020;23;Reelle
27-11-2020;22;Reelle
26-11-2020;23;Reelle
25-11-2020;29;Reelle
24-11-2020;22;Reelle
23-11-2020;21;Reelle
22-11-2020;27;Reelle
21-11-2020;29;Reelle
20-11-2020;22;Reelle
19-11-2020;25;Reelle
18-11-2020;23;Reelle
17-11-2020;21;Reelle
16-11-2020;22;Reelle
15-11-2020;26;Reelle
14-11-2020;24;Reelle
13-11-2020;20;Reelle
12-11-2020;23;Reelle
11-11-2020;25;Reelle
10-11-2020;19;Reelle
09-11-2020;21;Reelle
08-11-2020;22;Reelle
07-11-2020;23;Reelle
06-11-2020;23;Reelle
05-11-2020;23;Reelle
04-11-2020;28;Reelle
03-11-2020;22;Reelle
02-11-2020;22;Reelle
01-11-2020;20;Reelle
31-10-2020;22;Reelle
30-10-2020;22;Reelle
29-10-2020;23;Reelle
28-10-2020;25;Reelle
27-10-2020;24;Reelle
26-10-2020;22;Reelle
25-10-2020;23;Reelle
24-10-2020;19;Reelle
23-10-2020;18;Reelle
22-10-2020;20;Reelle
21-10-2020;24;Reelle
20-10-2020;19;Reelle
19-10-2020;24;Reelle
18-10-2020;21;Reelle
17-10-2020;25;Reelle
16-10-2020;20;Reelle
15-10-2020;22;Reelle
14-10-2020;31;Reelle
13-10-2020;20;Reelle
12-10-2020;22;Reelle
11-10-2020;20;Reelle
10-10-2020;21;Reelle
09-10-2020;17;Reelle
08-10-2020;17;Reelle
07-10-2020;24;Reelle
06-10-2020;19;Reelle

